gvkey	year	gvkey	year	Y	K	L	M	VA	i	naics_4digit
013027	1999	013027	1999	235.26257542620746	123.51112432753914	0.788	167.69372612052382	67.56884930568364	6.190420423937229	3261
013027	2000	013027	2000	246.1847286203258	111.98777405824524	0.901	175.67959955735134	70.50512906297448	11.643187066974596	3261
013027	2001	013027	2001	221.21598693694267	119.10774519560077	0.764	162.9089336514052	58.3070532855375	10.95950098610283	3261
013027	2002	013027	2002	341.42879066912224	123.54934243549843	1.08	235.29164108860246	106.13714958051975	8.402058303278125	3261
013027	2003	013027	2003	343.5731264856749	131.96717197068568	1.127	230.26856999874886	113.30455648692605	7.76292588589955	3261
013027	2004	013027	2004	350.8438844274381	136.94533681357294	1.045	248.8249655743898	102.0189188530483	7.262625701427856	3261
013027	2005	013027	2005	360.41758865248227	136.80610177571208	1.033	265.59492652482265	94.8226621276596	4.211890490847238	3261
013027	2006	013027	2006	397.79428218270164	135.93198183736183	0.928	312.26223960275763	85.532042579944	7.418691687312213	3261
013028	1998	013028	1998	3455.1876379690943	1351.5180590775135	19.3	2116.931315042573	1338.2563229265215	126.02643992778522	3333
013046	1998	013046	1998	597.9319278184742	510.56193403443	6.0	273.5639628372342	324.36796498124	17.334567110351863	3132
013046	1999	013046	1999	560.2324894322985	378.8237149164302	5.0	287.8266896959228	272.4057997363756	17.43775982063618	3132
013046	2000	013046	2000	282.9244747302669	353.1128730741959	2.2	143.43872799545713	139.4857467348098	4.797492767598842	3132
013046	2001	013046	2001	240.98403322356882	203.30755799451234	1.9	134.4252073644069	106.55882585916193	5.847296008718158	3132
013046	2002	013046	2002	200.22811421759116	207.31603891244697	1.8	101.21210037025575	99.01601384733542	7.304950183298473	3132
013046	2003	013046	2003	203.3382295563563	184.4674482414567	1.6	102.3150719515274	101.02315760482891	7.1702061350785815	3132
013046	2004	013046	2004	197.35141314559306	202.92657770901826	1.5	110.40023090244372	86.95118224314932	5.661975860134013	3132
013046	2005	013046	2005	172.492050830975	210.18758460645913	1.0	118.96764606256622	53.52440476840876	0.416724545075705	3132
013119	1998	013119	1998	108.55986641192663	34.237178829495654	0.364	88.57551787943976	19.984348532486877	2.3348424870220685	3256
013119	1999	013119	1999	97.95542098241724	36.412095779519966	0.32	94.11790805390255	3.8375129285146903	3.6829228127132	3256
013135	1998	013135	1998	4149.102491327657	855.5970900669587	20.6	2818.42775149795	1330.6747398297068	75.28740317977986	3334
013135	1999	013135	1999	4824.343714128861	895.7725250891446	25.0	3219.2843240005986	1605.059390128263	120.05652976465159	3334
013135	2000	013135	2000	4823.697662041907	1020.3228461566811	24.6	3168.94488656757	1654.7527754743376	106.30564385669197	3334
