ID	SEX	OCC	AGE	POB	HOURS	TERMS	COLLEGE	EARNMO	TOTEAR	COLYR	BOARD	DEP	PERIOD	BENESOC	INSUR	SAVINGS	IFDEBT	WHYDEBT	TEXTBK	OWNHM
208	2	1	20	1	6.00	7	-9	31.00	228.00	-9.00	12.00	-9	4	-9	-9	2	-9	-9	2	-9
209	2	1	18	10	7.00	2	-9	18.00	54.00	-9.00	8.00	-9	4	-9	-9	-9	-9	-9	2	-9
210	2	1	19	10	6.00	-9	-9	35.00	275.00	65.00	10.00	-9	4	-9	-9	2	-9	-9	2	-9
211	2	1	23	10	6.00	3	-9	35.00	-9.00	-9.00	-9.00	-9	4	-9	-9	2	-9	-9	2	-9
212	2	1	20	10	6.00	7	-9	35.00	108.00	200.00	9.00	-9	2	-9	-9	-9	2	3	2	-9
213	2	1	19	10	7.00	5	-9	27.50	232.25	-9.00	9.00	-9	4	-9	-9	2	-9	-9	2	-9
214	2	1	34	10	7.00	15	-9	34.00	350.00	250.00	-9.00	2	4	-9	-9	2	-9	-9	4	-9
215	2	1	21	10	6.00	5	-9	30.00	250.00	-9.00	8.00	-9	2	-9	-9	-9	-9	-9	2	-9
216	2	1	20	10	6.00	5	2	37.00	292.00	150.00	8.00	-9	4	-9	-9	-9	-9	-9	2	-9
217	2	1	23	10	7.00	2	-9	35.00	-9.00	-9.00	-9.00	-9	4	-9	-9	2	-9	-9	2	2
218	2	1	27	10	6.00	7	-9	26.00	104.00	-9.00	12.00	-9	4	-9	-9	2	-9	-9	1	-9
219	2	1	28	10	6.00	9	-9	25.00	150.00	-9.00	-9.00	1	5	-9	-9	-9	-9	-9	2	-9
220	2	1	21	10	6.00	5	-9	35.00	120.00	-9.00	8.00	4	2	-9	-9	2	-9	-9	2	-9
221	2	1	28	10	6.00	18	-9	30.00	250.00	125.00	6.00	-9	7	-9	-9	-9	-9	-9	1	-9
222	2	1	18	10	6.00	4	-9	35.00	-9.00	-9.00	10.00	1	5	-9	-9	2	-9	-9	2	-9
223	2	1	20	10	6.00	4	-9	28.30	150.00	-9.00	-8.00	-9	2	-9	-9	2	-9	-9	1	-9
224	2	1	45	10	7.00	38	-9	25.00	87.50	-9.00	8.00	-9	5	-9	3	2	-9	-9	1	2
